Industry, Company
Textiles, Argo Pantes Tbk.
Textiles, Sepatu Bata Tbk.
Textiles, PT Trisula Textile Industries Tbk.
Textiles, Primarindo Asia Infrastructure Tbk.
Textiles, Centex Tbk.
Textiles, Eratex Djaja Tbk.
Textiles, Ever Shine Textile Industry Tbk.
Textiles, Panasia Indo Resources Tbk.
Textiles, Hartadinata Abadi Tbk.
Textiles, Indorama Synthetics Tbk.
Textiles, PT Inocycle Technology Group Tbk.
Textiles, PT Asia Pacific Investama Tbk.
Textiles, Pan Brothers Tbk.
Textiles, Golden Flower Tbk.
Textiles, Asia Pacific Fibers Tbk.
Textiles, Ricky Putra Globalindo Tbk.
Textiles, PT Sejahtera Bintang Abadi Textile Tbk.
Textiles, PT Sri Rejeki Isman Tbk.
Textiles, Sunson Textile Manufacturer Tbk.
Textiles, Tifico Fiber Indonesia Tbk.
Textiles, Trisula International Tbk.
Textiles, Nusantara Inti Corpora Tbk.
